packet_id	n_blocks	top_mode	mode_margin	signal_strength	block_stability	composition_score	stress_score	matched_state_balance	negative_control_margin	missing_fraction	v_tag	mode_correlation_activation	mode_correlation_suppression	mode_correlation_delay	mode_correlation_persistent_loss	mode_correlation_redirection
F0285	5	delay	0.7206153731792713	0.6786157380153638	1.0	0.15213239273185925	0.15140778949758943	0.9337346174905056	0.36609070118470094	0.0	replication	-0.26151338465928126	0.26151338465928126	0.9821287578385526	-0.13810619555670664	-0.8859379191411356
F0286	2	delay	0.5049174547004013	0.7977628245869383	1.0	0.1399145571995558	0.16176951713794202	0.9347967316684835	0.5954278801376902	0.09836065573770492	none	-0.292845369886537	0.292845369886537	0.7977628245869383	-0.031360290937905703	-0.6886275993427259
F0287	2	delay	0.6265576036503056	0.5526122815983817	1.0	0.16612022739808804	0.16661340248491122	0.9318396518858753	0.40194526814053844	0.09836065573770492	outcome	-0.10240711470119827	0.10240711470119827	0.7289647183515038	-0.1809386409656266	-0.7359732603640116
F0288	2	delay	0.41480795995594555	0.7884611470581174	1.0	0.16862532100362573	0.15759763168020735	0.930631171401798	0.7856644818696256	0.12295081967213115	reversal	-0.3736531871021719	0.3736531871021719	0.7884611470581174	0.05952132974101378	-0.6272296079079566
F0289	2	delay	0.5155549063895805	0.5675254038301836	1.0	0.15640933223178755	0.14792763561090033	0.939654415308875	0.4461306037858924	0.05737704918032787	rescue	-0.19086142791319385	0.19086142791319385	0.7064163343027743	-0.10981399385276451	-0.5909581069886202
F0290	2	delay	0.49796579619750353	0.5100382483650905	1.0	0.1485147750183722	0.15778940588423795	0.9392359013503259	0.518187990875611	0.1721311475409836	replication	-0.06792396299767996	0.06792396299767996	0.5658897591951835	-0.16832500105477813	-0.501733837616597
F0291	3	delay	0.6612920014824093	0.8599228803452165	1.0	0.17097075404373968	0.15866606557155896	0.9362672051194298	0.645317081514849	0.11475409836065574	none	-0.19863087886280723	0.19863087886280723	0.8599228803452165	-0.15718063000939728	-0.7712000057275965
F0292	3	delay	0.6087200672900386	0.6929910839121913	1.0	0.15408897016671452	0.15675320391935071	0.934730650825988	0.4918902817107866	0.10382513661202186	outcome	-0.19255725137327745	0.19255725137327745	0.801277318663316	-0.12912549081218777	-0.7374797780802579
F0293	3	delay	0.6450681748406915	0.839526613070929	1.0	0.15132169321537164	0.14114959472231034	0.940819104586684	0.6883184004861438	0.09836065573770492	reversal	-0.1944584382302375	0.1944584382302375	0.839526613070929	-0.14657453293757108	-0.7671203654848358
F0294	3	delay	0.5331442404161209	0.8271218195910521	1.0	0.1540592542452096	0.163026582586305	0.9388264068478596	0.5766106882803429	0.14207650273224043	rescue	-0.3055660154454079	0.3055660154454079	0.8387102558615288	-0.02612390740383048	-0.7520496547696571
F0295	3	delay	0.44397995332116397	0.4371020371368784	1.0	0.15903609891832854	0.14440807137926023	0.9329283608886993	0.4512751033217273	0.1092896174863388	replication	-0.09316654939649976	0.09316654939649976	0.5371465027176637	-0.14130668602861834	-0.4668603989248514
F0296	5	delay	0.6833990018612395	0.8219339209366329	1.0	0.1708166168578528	0.15960842879889775	0.9386284539401606	0.5070155629284042	0.11147540983606558	none	-0.2260450450367139	0.2260450450367139	0.9094440468979533	-0.14046224753641223	-0.8218831404456457
F0297	5	delay	0.6432171538071507	0.6786966122501011	1.0	0.159699082052015	0.155512233126424	0.9358369982110165	0.4508836704004483	0.13114754098360656	outcome	-0.19044946573465432	0.19044946573465432	0.8336666195418051	-0.13969275326913586	-0.7695381385467461
F0298	5	delay	0.7265139042456104	0.6206965460502618	1.0	0.15433901452307414	0.163370898469853	0.9347471736304195	0.3760973835784992	0.11147540983606558	reversal	-0.1364143253253951	0.1364143253253951	0.8629282295710055	-0.21614834114176767	-0.8150300749855668
F0299	5	delay	0.6895166991004729	0.5982149579317105	1.0	0.17659517243743078	0.15963298035134912	0.9376382113522864	0.35817099643443945	0.11475409836065574	rescue	-0.14946909425154076	0.14946909425154076	0.8389857933520136	-0.18354494240462235	-0.7745219519765599
