trajectory	contrast	pathway	day	delta_auc_day	direction_day	main_direction	direction_consistent	n_cells_case	n_cells_reference
erythroid	T21_GATA1s_vs_T21_wtGATA1	RIBOSOME_TRANSLATION	D7	-0.9512280821800232	negative	negative	True	10768	8321
erythroid	T21_GATA1s_vs_T21_wtGATA1	RIBOSOME_TRANSLATION	D9	-1.2338387966156006	negative	negative	True	10620	9051
erythroid	T21_GATA1s_vs_T21_wtGATA1	RIBOSOME_TRANSLATION	D11	-0.5012367963790894	negative	negative	True	7316	8380
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	CELL_CYCLE_E2F_G2M	D7	0.5766133069992065	positive	positive	True	8321	9269
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	CELL_CYCLE_E2F_G2M	D9	0.1091668605804443	positive	positive	True	9051	6670
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	CELL_CYCLE_E2F_G2M	D11	0.2287367731332779	positive	positive	True	8380	10868
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_E2F_TARGETS	D7	0.5232880711555481	positive	positive	True	8321	9269
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_E2F_TARGETS	D9	0.0864319503307342	positive	positive	True	9051	6670
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_E2F_TARGETS	D11	0.2310003191232681	positive	positive	True	8380	10868
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V1	D7	0.7530232667922974	positive	positive	True	8321	9269
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V1	D9	0.195986121892929	positive	positive	True	9051	6670
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V1	D11	0.3706694841384887	positive	positive	True	8380	10868
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D7	0.5677687525749207	positive	positive	True	8321	9269
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D9	0.3132185041904449	positive	positive	True	9051	6670
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D11	0.3188716769218445	positive	positive	True	8380	10868
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	INFLAMMATORY_INTERFERON	D7	0.0609537586569786	positive	negative	False	8321	9269
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	INFLAMMATORY_INTERFERON	D9	-0.9654117822647096	negative	negative	True	9051	6670
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	INFLAMMATORY_INTERFERON	D11	-0.0099143013358116	negative	negative	True	8380	10868
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	RIBOSOME_TRANSLATION	D7	1.1346906423568726	positive	positive	True	8321	9269
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	RIBOSOME_TRANSLATION	D9	-0.0006812214851379	negative	positive	False	9051	6670
erythroid	T21_wtGATA1_vs_Euploid_wtGATA1	RIBOSOME_TRANSLATION	D11	0.3515567183494568	positive	positive	True	8380	10868
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	ERYTHROID_MATURATION	D7	0.0827767178416252	positive	negative	False	6774	8596
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	ERYTHROID_MATURATION	D9	-0.244315817952156	negative	negative	True	8702	8522
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	ERYTHROID_MATURATION	D11	-0.5162743330001831	negative	negative	True	5357	9598
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	GATA_KLF_TAL1_REGULON	D7	0.2287178039550781	positive	negative	False	6774	8596
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	GATA_KLF_TAL1_REGULON	D9	-0.4395215511322021	negative	negative	True	8702	8522
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	GATA_KLF_TAL1_REGULON	D11	-0.4011799097061157	negative	negative	True	5357	9598
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_HEME_METABOLISM	D7	0.1800902336835861	positive	negative	False	6774	8596
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_HEME_METABOLISM	D9	-0.3435471653938293	negative	negative	True	8702	8522
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_HEME_METABOLISM	D11	-0.1638000607490539	negative	negative	True	5357	9598
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D7	0.2938709855079651	positive	positive	True	6774	8596
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D9	0.0532055981457233	positive	positive	True	8702	8522
