dataset	file_name	source	download_url	local_path	file_size_bytes	file_size_human	status	sha256	error
GSE119450	GSE119450_geo_page.html	GEO_HTML	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119450	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\GSE119450\GSE119450_geo_page.html	26779	26.15 KB	downloaded	5920658924e19d399634fd83b982e5b4f19455198c62dda76c65e2d5ab9abf7e	
GSE119450	GSE119450_series_matrix.txt.gz	GEO_series_matrix_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119450/matrix/GSE119450_series_matrix.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE119450\GSE119450_series_matrix.txt.gz	2373	2.32 KB	downloaded	5b91d2dc3168653d9435d3e75ed907e6a8424c35bab97d45a85f9081ba569282	
GSE93735	GSE93735_geo_page.html	GEO_HTML	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93735	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\GSE93735\GSE93735_geo_page.html	30745	30.02 KB	downloaded	7e4d49db98cdbb29258b6142d3d86e4750118f6a8f72c4c7706fcf13fb98b4aa	
GSE270901	GSE270901_geo_page.html	GEO_HTML	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270901	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\GSE270901\GSE270901_geo_page.html	47411	46.30 KB	downloaded	9d4497efa66dc606ab3cfe9d381a8fe033c0a5b8f62df545a2bc848887cbbf48	
SCP1064	frangieh_2021_protein.h5ad	scverse_pertpy_exampledata_mirror	https://exampledata.scverse.org/pertpy/frangieh_2021_protein.h5ad	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\SCP1064\frangieh_2021_protein.h5ad	24714445	23.57 MB	downloaded	1f85827b5afad11a30d8ac99399772231110a1c3723bed6ecf7981a12cc3dbcc	SCP portal download/stream endpoints still returned 401 without an authenticated portal login; this is a scverse/pertpy mirror of the Frangieh 2021 protein modality.
SCP1064	Protein_expression.csv.gz	SingleCellPortal_authenticated_bulk_config	https://singlecell.broadinstitute.org/single_cell/data/public/SCP1064/multi-modal-pooled-perturb-cite-seq-screens-in-patient-models-define-novel-mechanisms-of-cancer-immune-evasion?filename=Protein_expression.csv.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\SCP1064\Protein_expression.csv.gz	5494738	5.24 MB	downloaded	b5ad32fe3eea3cc026d454d2f1d34c0833866ab79e941ceeea6f4f6a284c15e6	Downloaded after user completed Google sign-in, via SCP one-use bulk curl config; temporary auth config was not retained.
SCP1064	RNA_metadata.csv	SingleCellPortal_authenticated_bulk_config	https://singlecell.broadinstitute.org/single_cell/data/public/SCP1064/multi-modal-pooled-perturb-cite-seq-screens-in-patient-models-define-novel-mechanisms-of-cancer-immune-evasion?filename=RNA_metadata.csv	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\SCP1064\RNA_metadata.csv	12221677	11.66 MB	downloaded	7de7aa717655a4995b4437962e18cbc789d6f4896357e3e0a108aed0ad063652	Downloaded after user completed Google sign-in, via SCP one-use bulk curl config; temporary auth config was not retained.
SCP1064	RNA_UMAP_cluster.csv	SingleCellPortal_authenticated_bulk_config	https://singlecell.broadinstitute.org/single_cell/data/public/SCP1064/multi-modal-pooled-perturb-cite-seq-screens-in-patient-models-define-novel-mechanisms-of-cancer-immune-evasion?filename=RNA_UMAP_cluster.csv	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\SCP1064\RNA_UMAP_cluster.csv	6974854	6.65 MB	downloaded	46a57bc14a376bccd97aaf48caccb6f1c344e9318df3a6e8ce831561d9563a5c	Downloaded after user completed Google sign-in, via SCP one-use bulk curl config; temporary auth config was not retained.
SCP1064	all_sgRNA_assignments.txt	SingleCellPortal_authenticated_bulk_config	https://singlecell.broadinstitute.org/single_cell/data/public/SCP1064/multi-modal-pooled-perturb-cite-seq-screens-in-patient-models-define-novel-mechanisms-of-cancer-immune-evasion?filename=all_sgRNA_assignments.txt	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\SCP1064\all_sgRNA_assignments.txt	5430572	5.18 MB	downloaded	dd3dc44978383ec1a75dafc129d59731f1dd974794f896e034c0b7f5ab81fc40	Downloaded after user completed Google sign-in, via SCP one-use bulk curl config; temporary auth config was not retained.
SCP1064	raw_CITE_expression.csv.gz	SingleCellPortal_authenticated_bulk_config	https://singlecell.broadinstitute.org/single_cell/data/public/SCP1064/multi-modal-pooled-perturb-cite-seq-screens-in-patient-models-define-novel-mechanisms-of-cancer-immune-evasion?filename=raw_CITE_expression.csv.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\SCP1064\raw_CITE_expression.csv.gz	3685393	3.51 MB	downloaded	fca8d338693a538b2c460d40ad21274322c35ae86c821e72d0075344fa5321a2	Downloaded after user completed Google sign-in, via SCP one-use bulk curl config; temporary auth config was not retained.
SCP1064	untreated_regulatory_matrix.csv	SingleCellPortal_authenticated_bulk_config	https://singlecell.broadinstitute.org/single_cell/data/public/SCP1064/multi-modal-pooled-perturb-cite-seq-screens-in-patient-models-define-novel-mechanisms-of-cancer-immune-evasion?filename=untreated_regulatory_matrix.csv	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\SCP1064\untreated_regulatory_matrix.csv	9550025	9.11 MB	downloaded	28bc7d249a171d13664eb05a83441deb50c70264c263067f80c16e917a3475f2	Downloaded after user completed Google sign-in, via SCP one-use bulk curl config; temporary auth config was not retained.
SCP1064	treated_regulatory_matrix.csv	SingleCellPortal_authenticated_bulk_config	https://singlecell.broadinstitute.org/single_cell/data/public/SCP1064/multi-modal-pooled-perturb-cite-seq-screens-in-patient-models-define-novel-mechanisms-of-cancer-immune-evasion?filename=treated_regulatory_matrix.csv	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\SCP1064\treated_regulatory_matrix.csv	10550769	10.06 MB	downloaded	d2387a12766f995891ec27b67b7a1102ad98de65ec09715a2d5c046956415c3d	Downloaded after user completed Google sign-in, via SCP one-use bulk curl config; temporary auth config was not retained.
SCP1064	cocx_regulatory_matrix.csv	SingleCellPortal_authenticated_bulk_config	https://singlecell.broadinstitute.org/single_cell/data/public/SCP1064/multi-modal-pooled-perturb-cite-seq-screens-in-patient-models-define-novel-mechanisms-of-cancer-immune-evasion?filename=cocx_regulatory_matrix.csv	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\SCP1064\cocx_regulatory_matrix.csv	10400533	9.92 MB	downloaded	a11bd3414d83bde73d55d115130a5c9836241f4829313d4e30b65a9905352fa5	Downloaded after user completed Google sign-in, via SCP one-use bulk curl config; temporary auth config was not retained.
SCP1064	Fig4C_pvals_heatmap_values.csv	SingleCellPortal_authenticated_bulk_config	https://singlecell.broadinstitute.org/single_cell/data/public/SCP1064/multi-modal-pooled-perturb-cite-seq-screens-in-patient-models-define-novel-mechanisms-of-cancer-immune-evasion?filename=Fig4C_pvals_heatmap_values.csv	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\SCP1064\Fig4C_pvals_heatmap_values.csv	5127404	4.89 MB	downloaded	3c9ddf126933a2ed40e4a6aa0cc7a037dab5f56b46e47ec7d301baa6ee4971ff	Downloaded after user completed Google sign-in, via SCP one-use bulk curl config; temporary auth config was not retained.
SCP1064	file_supplemental_info.tsv	SingleCellPortal_authenticated_bulk_config	https://singlecell.broadinstitute.org/single_cell/studies/5f2c9cdd771a5b0de147687e/manifest	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\SCP1064\file_supplemental_info.tsv	1082	1.06 KB	downloaded	a06077a1e1c5248478359c7d13912a94a7e989d16f3e4b6b2db4f0e30cbbed08	Downloaded after user completed Google sign-in, via SCP one-use bulk curl config; temporary auth config was not retained.
SCP1064	frangieh_2021_rna.h5ad	scverse_pertpy_exampledata_mirror	https://exampledata.scverse.org/pertpy/frangieh_2021_rna.h5ad	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\SCP1064\frangieh_2021_rna.h5ad	1458928348	1.36 GB	downloaded	cc42ef38bcf703a00e0c77c7945dd53159b12d814c438ae8afeaed9bc71f48d1	scverse/pertpy mirror of the Frangieh 2021 RNA modality; used instead of 3.27 GB SCP RNA_expression.csv.gz for TED RNA-event adapter.
