method	factor	factor_level	mean_fdp	empirical_fwer	mean_power	mean_false_e_promotion	mean_false_e_demotion	mean_non_e0_call_fraction	n
family_wide_maxT_fwer	effect_size	weak	0.19049023930559877	0.3333333333333333	0.31373456790123455	0.07851851851851853	0.16935185185185184	0.07851851851851853	108
naive_selected_window_bh	effect_size	moderate	0.3429449829126768	0.5462962962962963	0.5462962962962963	0.19981481481481483	0.11222222222222221	0.33425925925925926	108
naive_selected_window_bh	effect_size	null	0.3118279569892473	0.3118279569892473		0.1728494623655914	0.0	0.1728494623655914	372
naive_selected_window_bh	effect_size	strong	0.288960534661489	0.4537037037037037	0.4537037037037037	0.17694444444444443	0.13444444444444445	0.2891666666666667	108
naive_selected_window_bh	effect_size	weak	0.3351429446685795	0.5648148148148148	0.5644444444444444	0.31907407407407407	0.10759259259259259	0.31907407407407407	108
per_event_max_window_bh	effect_size	moderate	0.08839438934012532	0.3333333333333333	0.3333333333333333	0.008703703703703705	0.16444444444444442	0.09092592592592592	108
per_event_max_window_bh	effect_size	null	0.05913978494623656	0.05913978494623656		0.0026075268817204304	0.0	0.0026075268817204304	372
per_event_max_window_bh	effect_size	strong	0.0937457599785975	0.26851851851851855	0.3333333333333333	0.011203703703703704	0.16444444444444442	0.09342592592592593	108
per_event_max_window_bh	effect_size	weak	0.058492693001417226	0.25925925925925924	0.3325925925925926	0.08805555555555555	0.16462962962962965	0.08805555555555555	108
family_wide_maxT_fwer	artifact	batch_time	0.0017511192511192512	0.041666666666666664	0.38466666666666666	0.03305555555555555	0.12819444444444444	0.08055555555555555	72
family_wide_maxT_fwer	artifact	composition	0.33811938700918964	0.6041666666666666	0.40046296296296297	0.004583333333333333	0.10916666666666668	0.075	96
family_wide_maxT_fwer	artifact	missing_intermediates	0.027777777777777776	0.027777777777777776	0.36250000000000004	0.03888888888888889	0.10625000000000001	0.06180555555555556	72
family_wide_maxT_fwer	artifact	none	0.07101254480286738	0.07526881720430108	0.375	0.0040860215053763445	0.029462365591397848	0.021370967741935483	372
family_wide_maxT_fwer	artifact	stress	0.24561423293040938	0.6428571428571429	0.5349537037037037	0.034523809523809526	0.09952380952380951	0.11345238095238094	84
naive_selected_window_bh	artifact	batch_time	0.21843513533597814	0.3472222222222222	0.4166666666666667	0.18430555555555556	0.12152777777777778	0.22944444444444445	72
naive_selected_window_bh	artifact	composition	0.42549416909075416	0.59375	0.625	0.218125	0.06874999999999999	0.306875	96
naive_selected_window_bh	artifact	missing_intermediates	0.2955382206301324	0.4444444444444444	0.4791666666666667	0.15097222222222223	0.08680555555555555	0.18916666666666668	72
naive_selected_window_bh	artifact	none	0.2975603363886096	0.3225806451612903	0.3472222222222222	0.19451612903225807	0.030645161290322583	0.20927419354838708	372
naive_selected_window_bh	artifact	stress	0.3797055586116828	0.6071428571428571	0.7077777777777778	0.26202380952380955	0.06261904761904762	0.34095238095238095	84
per_event_max_window_bh	artifact	batch_time	0.02848117047149923	0.3055555555555556	0.39866666666666667	0.04875	0.12527777777777777	0.09041666666666667	72
per_event_max_window_bh	artifact	composition	0.21553567146208738	0.375	0.3333333333333333	0.009270833333333334	0.12125000000000001	0.07052083333333334	96
per_event_max_window_bh	artifact	missing_intermediates	0.015542328042328043	0.08333333333333333	0.25	0.04513888888888889	0.125	0.04513888888888889	72
per_event_max_window_bh	artifact	none	0.03000192012288786	0.04032258064516129	0.16666666666666666	0.003360215053763441	0.039354838709677424	0.0114247311827957	372
per_event_max_window_bh	artifact	stress	0.1543632896607725	0.42857142857142855	0.5	0.044404761904761905	0.10714285714285714	0.1144047619047619	84
