protein_name	target_gene	n_cells	mean_score	control_mean_score	effect_size_vs_control	p_value	q_value	direction	block_support	direction_stability
Mouse_IgG2b	SAE1	94	0.03065812882622185	-0.0015461932291617843	0.032204322055383636	0.3820644486673094	0.8693703903751292	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SAT1	605	0.014676520563329064	-0.0015461932291617843	0.016222713792490847	0.30613588074678777	0.8693703903751292	up	1.0	1.0
Mouse_IgG2b	SCARB2	645	-0.016886724058821703	-0.0015461932291617843	-0.015340530829659919	0.3205826659143933	0.8693703903751292	down	0.3333333333333333	0.3333333333333333
Mouse_IgG2b	SDC3	753	0.009373399248222187	-0.0015461932291617843	0.010919592477383971	0.4802576959235314	0.8794490090752611	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SDCBP	683	0.01770444766220027	-0.0015461932291617843	0.019250640891362053	0.21488272416162696	0.8574135494880468	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SEC11C	656	0.006541113919361803	-0.0015461932291617843	0.008087307148523588	0.5845507018189089	0.9261882133190409	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SERPINA3	565	0.012826188472096598	-0.0015461932291617843	0.014372381701258383	0.4221925909171649	0.8792329808086567	up	1.0	1.0
Mouse_IgG2b	SERPINE2	558	-0.008373358808308735	-0.0015461932291617843	-0.0068271655791469505	0.6633259932099129	0.9385783564330473	down	0.3333333333333333	0.3333333333333333
Mouse_IgG2b	SERPINF1	659	-0.0016714660923394826	-0.0015461932291617843	-0.0001252728631776982	0.9931756829939689	0.9972294612919034	down	0.3333333333333333	0.3333333333333333
Mouse_IgG2b	SET	485	0.01996534350506809	-0.0015461932291617843	0.021511536734229876	0.2414644782523046	0.8574135494880468	up	1.0	1.0
Mouse_IgG2b	SGK1	606	0.011835163973868652	-0.0015461932291617843	0.013381357203030436	0.39227688346194856	0.8693703903751292	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SHMT2	488	-0.023605263887345674	-0.0015461932291617843	-0.02205907065818389	0.16801663343567758	0.7955627130105128	down	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SINHCAF	402	0.04706150591793858	-0.0015461932291617843	0.048607699147100364	0.0361214360544286	0.5553670793368397	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SLC19A1	496	-0.004649500233153641	-0.0015461932291617843	-0.003103307003991857	0.8498159752675439	0.972163633529955	down	0.0	0.0
Mouse_IgG2b	SLC22A18	858	-0.005032826509383788	-0.0015461932291617843	-0.003486633280222004	0.7942910976772218	0.972163633529955	down	0.3333333333333333	0.3333333333333333
Mouse_IgG2b	SLC25A13	662	-0.01231355965607839	-0.0015461932291617843	-0.010767366426916605	0.4539764063142685	0.8794490090752611	down	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SLC26A2	677	-0.00708805255446553	-0.0015461932291617843	-0.005541859325303745	0.6969335249173678	0.9631777928633286	down	0.3333333333333333	0.3333333333333333
Mouse_IgG2b	SLC5A3	709	0.0028701186889086776	-0.0015461932291617843	0.004416311918070462	0.7654172157370691	0.972163633529955	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SLC7A5P1	602	-0.013185598512329252	-0.0015461932291617843	-0.011639405283167467	0.45687319225284606	0.8794490090752611	down	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SLIRP	448	0.012498634592073081	-0.0015461932291617843	0.014044827821234866	0.4253200191716673	0.8792329808086567	up	1.0	1.0
Mouse_IgG2b	SMAD3	719	-0.001784024308162665	-0.0015461932291617843	-0.0002378310790008807	0.9857400693404114	0.9946774933295354	down	0.3333333333333333	0.3333333333333333
Mouse_IgG2b	SMAD4	644	0.0007455959714194099	-0.0015461932291617843	0.0022917892005811943	0.8842837592393316	0.972163633529955	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SNHG6	535	-0.011828810228254546	-0.0015461932291617843	-0.010282616999092761	0.5298017258735799	0.8929240867324393	down	0.3333333333333333	0.3333333333333333
