axis	target_gene	n_cells	mean_score	control_mean_score	effect_size_vs_control	p_value	q_value	direction	block_support	direction_stability
negative_mitochondrial	IFNGR2	1203	0.17195422140625913	0.001858849151076011	0.17009537225518312	1.6742243282838428e-26	1.0296479618945633e-24	up	1.0	1.0
negative_mitochondrial	ILF2	169	-0.11047593556945191	0.001858849151076011	-0.11233478472052792	0.051334928897654175	0.26309151060047764	down	1.0	1.0
negative_mitochondrial	IRF3	799	0.013067433679370759	0.001858849151076011	0.011208584528294749	0.5619525736331967	0.8277864258309364	up	0.3333333333333333	0.3333333333333333
negative_mitochondrial	IRF4	687	0.04542861632232882	0.001858849151076011	0.04356976717125281	0.03452303410631489	0.19301514523076052	up	1.0	1.0
negative_mitochondrial	ISYNA1	575	-0.0198258026596902	0.001858849151076011	-0.02168465181076621	0.3794226123541212	0.6913923158452876	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	ITGA3	769	-0.009954392245744442	0.001858849151076011	-0.011813241396820452	0.5614056563807555	0.8277864258309364	down	1.0	1.0
negative_mitochondrial	JAK1	1026	0.21092306594067295	0.001858849151076011	0.20906421678959694	3.713020648520198e-31	3.0446769317865627e-29	up	1.0	1.0
negative_mitochondrial	JAK2	1120	0.13035134169159193	0.001858849151076011	0.12849249254051592	3.230072308338177e-12	9.932472348139895e-11	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	JMJD7	918	0.03855467700586195	0.001858849151076011	0.036695827854785944	0.042793078791657606	0.2288499431032124	up	1.0	1.0
negative_mitochondrial	JPT1	533	0.02656432723921863	0.001858849151076011	0.024705478088142618	0.2695842041645789	0.6415811037654405	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	KCNN4	813	-0.015491257842142073	0.001858849151076011	-0.017350106993218085	0.43103026878339357	0.7467144093008086	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	KDR	831	0.0055729619291442715	0.001858849151076011	0.0037141127780682603	0.863165641459222	0.9363359239615616	up	0.3333333333333333	0.3333333333333333
negative_mitochondrial	KLF4	731	-0.017976610412690306	0.001858849151076011	-0.019835459563766318	0.3516650528684999	0.6695407747036511	down	1.0	1.0
negative_mitochondrial	LAMP2	838	0.007157623306424698	0.001858849151076011	0.005298774155348687	0.7659835028962242	0.8963459742286218	up	0.3333333333333333	0.3333333333333333
